Student_ID,Student_GivenName,Student_Surname,House,Merits,Demerits,Merit_Type,Awarded_By,Date Awarded
432,Nicole,Fletcher,Mully,2,,Arts,GBR,15/01/2022
1986,Courtney,Sheppard,Dannister,2,,Academic,GBR,15/01/2022
1064,Elizabeth,Winter,Mully,1,,Sports,VMA,16/01/2022
1226,Caitlin,Akhtar,Dannister,1,,Social,LEX,16/01/2022
1429,Samantha,Scott,Mully,2,,Social,JMI,16/01/2022
1316,Ruby,Miller,Laratheon,1,,Behaviour,SMO,17/01/2022
1611,Samantha,Kerr,Mully,2,,Behaviour,VMA,17/01/2022
1926,Sebastian,Bull,Laratheon,2,,Social,GBA,17/01/2022
213,Amber,Turner,Laratheon,2,,Social,JMI,17/01/2022
1486,Lilly,Potts,Dannister,2,,Academic,MAR,17/01/2022
292,Ruby,Townsend,Dannister,3,,Social,GBA,17/01/2022
179,Louise,Conway,Tark,2,,Sports,JMI,17/01/2022
34,Mollie,Cooke,Mully,1,,Arts,SMO,17/01/2022
1422,Mason,Hanson,Mully,3,,Social,ATR,17/01/2022
1237,Jonathan,Coleman,Tark,3,,Academic,VCR,17/01/2022
204,Anthony,Flynn,Dannister,2,,Sports,LHO,18/01/2022
732,Noah,Chambers,Laratheon,2,,Arts,LHO,18/01/2022
1948,Charlie,Leonard,Laratheon,2,,Arts,JMI,18/01/2022
999,George,Hammond,Tark,2,,Social,ATR,18/01/2022
251,Olivia,Harvey,Dannister,3,,Arts,LHO,18/01/2022
437,Lewis,Bentley,Mully,2,,Behaviour,GBR,18/01/2022
1579,Tyler,Skinner,Mully,1,,Sports,SMO,18/01/2022
552,Paige,Welch,Laratheon,2,,Academic,PFR,18/01/2022
442,Elise,Walters,Dannister,3,,Sports,SMO,18/01/2022
686,Abbie,Bennett,Dannister,2,,Arts,JMI,18/01/2022
899,Aaliyah,Flynn,Mully,1,,Sports,SMO,18/01/2022
235,Nathan,Whitehead,Laratheon,1,,Behaviour,SMO,18/01/2022
510,Demi,Blake,Dannister,1,,Social,MAR,19/01/2022
359,Lydia,Hamilton,Tark,2,,Academic,MAR,19/01/2022
1498,Sienna,Holland,Tark,1,,Sports,MAR,19/01/2022
1720,Madison,Schofield,Laratheon,3,,Behaviour,SMO,19/01/2022
1470,Amber,Bevan,Mully,1,,Sports,GBR,19/01/2022
1120,Kate,Mellor,Laratheon,2,,Behaviour,GBR,19/01/2022
507,Lauren,Burgess,Dannister,3,,Behaviour,MAR,19/01/2022
1737,Luke,Vincent,Dannister,3,,Academic,MAR,19/01/2022
1219,Abby,Robertson,Laratheon,,2,Behaviour,GBR,20/01/2022
212,William,O'Brien,Dannister,2,,Social,GBA,20/01/2022
1084,Declan,Rowe,Mully,3,,Social,LEX,20/01/2022
1389,Ruby,Burrows,Tark,3,,Arts,MAR,20/01/2022
322,Joel,Gould,Dannister,1,,Academic,JMI,20/01/2022
173,Cerys,Horton,Mully,2,,Sports,MAR,21/01/2022
1014,Emma,Blackburn,Tark,2,,Academic,GBA,21/01/2022
2,Jessica,Hughes,Laratheon,3,,Social,PFR,21/01/2022
1564,Jodie,Long,Mully,,1,Behaviour,PFR,21/01/2022
830,Evie,Thornton,Dannister,3,,Behaviour,MAR,21/01/2022
559,Josh,Gallagher,Laratheon,,3,Academic,ATR,21/01/2022
778,Nathan,West,Laratheon,1,,Academic,SMO,22/01/2022
1231,Grace,Fletcher,Mully,3,,Sports,SMO,22/01/2022
1363,Harley,George,Mully,2,,Sports,SMO,22/01/2022
827,Luca,Lee,Dannister,3,,Social,MAR,22/01/2022
1022,Alisha,Osborne,Mully,1,,Sports,ATR,22/01/2022
160,Tom,Cooper,Mully,2,,Sports,VMA,22/01/2022
212,William,O'Brien,Dannister,2,,Social,GBA,22/01/2022
466,Bradley,Cameron,Tark,1,,Arts,LEX,23/01/2022
512,Danielle,Shaw,Tark,2,,Sports,MAR,23/01/2022
123,Georgia,Allan,Laratheon,3,,Academic,VCR,23/01/2022
739,Maddison,O'Sullivan,Mully,1,,Academic,MAR,23/01/2022
959,Alexander,Andrews,Dannister,3,,Academic,LEX,23/01/2022
1002,Skye,Hughes,Dannister,2,,Arts,SMO,23/01/2022
1285,Jade,Dodd,Dannister,2,,Sports,MAR,23/01/2022
1557,Charlotte,Hyde,Laratheon,1,,Arts,ATR,24/01/2022
335,Abigail,Hardy,Dannister,1,,Social,ATR,24/01/2022
1897,Andrew,Barber,Mully,1,,Sports,LHO,24/01/2022
655,Lara,Whittaker,Laratheon,3,,Social,VCR,25/01/2022
1421,Mohammed,Shah,Tark,1,,Sports,MAR,25/01/2022
965,Alicia,Waters,Dannister,,1,Social,SMO,25/01/2022
778,Nathan,West,Laratheon,1,,Academic,SMO,25/01/2022
565,Gabriel,Noble,Dannister,2,,Sports,ATR,26/01/2022
1190,Jodie,Chambers,Dannister,3,,Arts,JMI,26/01/2022
1558,Jacob,Watson,Laratheon,2,,Arts,MAR,26/01/2022
942,Melissa,Davidson,Mully,2,,Academic,MAR,26/01/2022
1636,Louise,Burgess,Dannister,2,,Arts,JMI,26/01/2022
976,Joel,French,Mully,1,,Social,MAR,26/01/2022
1000,Leah,Reid,Laratheon,3,,Social,ATR,27/01/2022
424,Eleanor,Stone,Mully,1,,Social,GBR,27/01/2022
148,Emma,Chadwick,Tark,1,,Social,LEX,27/01/2022
276,Megan,Garner,Dannister,1,,Arts,GBR,27/01/2022
1309,Muhammad,Wilkins,Tark,3,,Arts,VCR,27/01/2022
314,Alfie,Rowe,Laratheon,3,,Behaviour,PFR,27/01/2022
1498,Sienna,Holland,Tark,,1,Sports,MAR,27/01/2022
292,Ruby,Townsend,Dannister,3,,Social,GBA,27/01/2022
946,Tegan,Mahmood,Tark,2,,Academic,GBR,28/01/2022
1066,Tia,Nolan,Dannister,2,,Behaviour,SMO,28/01/2022
242,Elizabeth,O'Brien,Tark,3,,Social,VCR,28/01/2022
225,Jasmine,Hilton,Mully,,1,Arts,VCR,28/01/2022
469,Mohammed,Mellor,Mully,1,,Behaviour,VCR,28/01/2022
1948,Charlie,Leonard,Laratheon,2,,Arts,JMI,28/01/2022
741,Kai,Alexander,Laratheon,1,,Arts,MAR,29/01/2022
1510,Aaliyah,Kennedy,Laratheon,,4,Social,MAR,29/01/2022
112,Ellis,Charlton,Laratheon,2,,Sports,LEX,29/01/2022
660,Olivia,Coleman,Laratheon,2,,Arts,VCR,29/01/2022
981,Zachary,Davison,Laratheon,1,,Sports,PFR,29/01/2022
1552,Eve,Kelly,Dannister,1,,Social,MAR,29/01/2022
1737,Luke,Vincent,Dannister,3,,Academic,MAR,29/01/2022
665,Lydia,Bartlett,Laratheon,1,,Academic,JMI,29/01/2022
1025,Francesca,Clayton,Mully,3,,Behaviour,VMA,30/01/2022
1507,Jade,Hobbs,Dannister,2,,Sports,LEX,30/01/2022
1911,Ewan,Mills,Tark,1,,Social,GBR,30/01/2022
1508,Ben,Dean,Mully,2,,Academic,MAR,30/01/2022
527,Ellis,Saunders,Tark,,2,Sports,LEX,30/01/2022
604,Jordan,O'Connor,Tark,3,,Behaviour,VMA,30/01/2022
462,Leo,Harris,Tark,3,,Social,ATR,30/01/2022
61,Samantha,Ingram,Dannister,1,,Behaviour,LHO,30/01/2022
358,Sarah,Mistry,Mully,3,,Arts,GBR,30/01/2022
115,Ella,Cook,Tark,3,,Academic,LEX,30/01/2022
1268,Laura,O'Sullivan,Mully,3,,Sports,MAR,30/01/2022
1060,Finlay,Rose,Tark,3,,Sports,JMI,30/01/2022
831,Isabel,Gough,Laratheon,3,,Arts,JMI,31/01/2022
974,Millie,Baldwin,Mully,1,,Social,GBA,31/01/2022
1151,Victoria,Watkins,Laratheon,3,,Behaviour,MAR,31/01/2022
1051,Skye,Atkins,Mully,3,,Behaviour,GBR,31/01/2022
501,Isabelle,Walters,Dannister,3,,Social,ATR,01/02/2022
432,Nicole,Fletcher,Mully,3,,Social,GBA,01/02/2022
830,Evie,Thornton,Dannister,1,,Sports,JMI,01/02/2022
778,Nathan,West,Laratheon,1,,Academic,VCR,01/02/2022
462,Leo,Harris,Tark,,3,Behaviour,LEX,01/02/2022
1583,Freddie,Doyle,Laratheon,3,,Sports,LHO,01/02/2022
1066,Tia,Nolan,Dannister,2,,Behaviour,SMO,01/02/2022
1051,Skye,Atkins,Mully,3,,Behaviour,GBR,01/02/2022
1510,Aaliyah,Kennedy,Laratheon,1,,Behaviour,JMI,02/02/2022
213,Amber,Turner,Laratheon,2,,Academic,GBA,02/02/2022
974,Millie,Baldwin,Mully,2,,Social,GBA,02/02/2022
1226,Caitlin,Akhtar,Dannister,2,,Sports,MAR,02/02/2022
926,Daniel,Kaur,Mully,1,,Social,VCR,02/02/2022
1421,Mohammed,Shah,Tark,1,,Social,GBA,03/02/2022
939,Mia,Myers,Dannister,3,,Behaviour,ATR,03/02/2022
936,Sienna,Bibi,Laratheon,,1,Social,LEX,03/02/2022
314,Alfie,Rowe,Laratheon,2,,Social,VCR,03/02/2022
1340,Abbie,Baker,Dannister,2,,Academic,GBA,03/02/2022
257,Natasha,Bennett,Tark,2,,Arts,SMO,03/02/2022
552,Paige,Welch,Laratheon,3,,Social,ATR,04/02/2022
1022,Alisha,Osborne,Mully,1,,Academic,LEX,04/02/2022
922,Ryan,Field,Tark,3,,Behaviour,SMO,04/02/2022
1051,Skye,Atkins,Mully,,2,Academic,LEX,04/02/2022
359,Lydia,Hamilton,Tark,1,,Arts,SMO,04/02/2022
1737,Luke,Vincent,Dannister,1,,Arts,JMI,04/02/2022
946,Tegan,Mahmood,Tark,2,,Social,SMO,04/02/2022
599,Eva,Atkinson,Mully,1,,Behaviour,GBR,04/02/2022
52,Dylan,Akhtar,Laratheon,3,,Academic,GBA,04/02/2022
746,Grace,Douglas,Tark,,2,Sports,ATR,04/02/2022
1363,Harley,George,Mully,3,,Behaviour,LHO,05/02/2022
438,Andrew,Storey,Dannister,3,,Arts,ATR,05/02/2022
512,Danielle,Shaw,Tark,2,,Behaviour,GBR,05/02/2022
173,Cerys,Horton,Mully,2,,Academic,SMO,05/02/2022
1084,Declan,Rowe,Mully,1,,Behaviour,MAR,05/02/2022
1510,Aaliyah,Kennedy,Laratheon,,1,Behaviour,JMI,05/02/2022
946,Tegan,Mahmood,Tark,2,,Social,SMO,05/02/2022
784,David,Norris,Tark,3,,Behaviour,ATR,06/02/2022
1611,Samantha,Kerr,Mully,2,,Academic,PFR,06/02/2022
1399,Archie,Porter,Dannister,1,,Arts,LHO,06/02/2022
604,Jordan,O'Connor,Tark,2,,Sports,PFR,06/02/2022
1014,Emma,Blackburn,Tark,1,,Academic,SMO,06/02/2022
976,Joel,French,Mully,1,,Sports,VCR,06/02/2022
276,Megan,Garner,Dannister,3,,Social,MAR,07/02/2022
1237,Jonathan,Coleman,Tark,1,,Behaviour,GBA,07/02/2022
670,Eve,Lamb,Tark,1,,Sports,GBA,07/02/2022
942,Melissa,Davidson,Mully,3,,Sports,GBA,07/02/2022
317,Rebecca,Bruce,Dannister,2,,Arts,GBR,07/02/2022
235,Nathan,Whitehead,Laratheon,3,,Behaviour,GBA,07/02/2022
1270,Jade,Waters,Tark,3,,Sports,SMO,07/02/2022
1510,Aaliyah,Kennedy,Laratheon,,4,Social,MAR,07/02/2022
1049,Ethan,Reynolds,Tark,1,,Arts,LHO,08/02/2022
106,Joseph,Poole,Laratheon,2,,Social,GBR,08/02/2022
1562,Tilly,Pollard,Mully,2,,Academic,GBR,08/02/2022
1328,Erin,Murray,Mully,3,,Social,VCR,08/02/2022
1309,Muhammad,Wilkins,Tark,2,,Sports,ATR,08/02/2022
1386,Freddie,Evans,Dannister,2,,Behaviour,VCR,08/02/2022
594,Finley,Finch,Tark,1,,Arts,VMA,09/02/2022
741,Kai,Alexander,Laratheon,1,,Academic,SMO,09/02/2022
1926,Sebastian,Bull,Laratheon,3,,Behaviour,LEX,09/02/2022
502,Christopher,Henderson,Dannister,1,,Behaviour,VCR,09/02/2022
1516,Alexandra,Carter,Laratheon,3,,Arts,VMA,09/02/2022
1394,Danielle,Leach,Mully,2,,Behaviour,MAR,09/02/2022
284,Morgan,Brennan,Dannister,1,,Sports,VMA,09/02/2022
153,Georgina,Bradley,Laratheon,3,,Behaviour,LEX,09/02/2022
390,Grace,Watts,Dannister,3,,Social,ATR,09/02/2022
292,Ruby,Townsend,Dannister,2,,Social,VCR,10/02/2022
1579,Tyler,Skinner,Mully,3,,Sports,VCR,10/02/2022
1918,Jack,Collier,Laratheon,2,,Social,MAR,10/02/2022
179,Louise,Conway,Tark,1,,Arts,VCR,10/02/2022
306,Kieran,Jennings,Dannister,1,,Academic,LEX,10/02/2022
827,Luca,Lee,Dannister,1,,Social,VCR,10/02/2022
999,George,Hammond,Tark,1,,Social,LEX,10/02/2022
920,Muhammad,Edwards,Mully,3,,Academic,MAR,10/02/2022
1897,Andrew,Barber,Mully,3,,Arts,MAR,10/02/2022
976,Joel,French,Mully,,1,Sports,VCR,10/02/2022
1877,Katie,Greenwood,Dannister,2,,Social,LEX,11/02/2022
1316,Ruby,Miller,Laratheon,1,,Behaviour,VMA,11/02/2022
322,Joel,Gould,Dannister,1,,Arts,VCR,11/02/2022
1025,Francesca,Clayton,Mully,3,,Social,GBR,11/02/2022
507,Lauren,Burgess,Dannister,2,,Social,SMO,11/02/2022
1611,Samantha,Kerr,Mully,2,,Behaviour,VMA,11/02/2022
1051,Skye,Atkins,Mully,3,,Behaviour,GBR,11/02/2022
358,Sarah,Mistry,Mully,3,,Behaviour,LEX,12/02/2022
739,Maddison,O'Sullivan,Mully,1,,Behaviour,PFR,12/02/2022
1285,Jade,Dodd,Dannister,1,,Social,LEX,12/02/2022
1445,Maisie,Byrne,Tark,3,,Sports,JMI,12/02/2022
1097,Charlie,Vincent,Mully,2,,Sports,ATR,12/02/2022
405,Ethan,Rose,Tark,1,,Arts,GBR,12/02/2022
686,Abbie,Bennett,Dannister,2,,Arts,JMI,12/02/2022
112,Ellis,Charlton,Laratheon,2,,Sports,LEX,12/02/2022
660,Olivia,Coleman,Laratheon,3,,Academic,PFR,13/02/2022
872,Abby,Clark,Tark,2,,Sports,GBA,13/02/2022
1634,Alisha,Norton,Mully,3,,Academic,MAR,13/02/2022
1848,Hollie,Harrison,Dannister,2,,Arts,GBR,13/02/2022
1470,Amber,Bevan,Mully,2,,Behaviour,LEX,13/02/2022
746,Grace,Douglas,Tark,1,,Behaviour,SMO,13/02/2022
1066,Tia,Nolan,Dannister,1,,Behaviour,PFR,13/02/2022
1332,Cerys,Wheeler,Tark,2,,Social,VMA,13/02/2022
654,Millie,Glover,Dannister,2,,Social,LEX,13/02/2022
1770,Ruby,Knight,Tark,2,,Academic,LEX,13/02/2022
1534,Yasmin,Talbot,Laratheon,1,,Academic,VMA,13/02/2022
1328,Erin,Murray,Mully,3,,Social,VCR,13/02/2022
1120,Kate,Mellor,Laratheon,3,,Behaviour,VMA,14/02/2022
2,Jessica,Hughes,Laratheon,,5,Sports,SMO,14/02/2022
922,Ryan,Field,Tark,3,,Behaviour,SMO,14/02/2022
1231,Grace,Fletcher,Mully,2,,Sports,GBA,15/02/2022
437,Lewis,Bentley,Mully,3,,Arts,VCR,15/02/2022
708,Georgina,Owen,Laratheon,3,,Sports,VCR,15/02/2022
527,Ellis,Saunders,Tark,3,,Social,SMO,15/02/2022
1373,Callum,Stephens,Mully,3,,Academic,VMA,15/02/2022
1632,Joel,Knight,Tark,1,,Academic,GBR,15/02/2022
1670,Bailey,Poole,Laratheon,3,,Social,ATR,15/02/2022
173,Cerys,Horton,Mully,2,,Academic,SMO,15/02/2022
1579,Tyler,Skinner,Mully,3,,Sports,VCR,15/02/2022
959,Alexander,Andrews,Dannister,3,,Arts,VCR,16/02/2022
1623,James,Sheppard,Mully,3,,Social,JMI,16/02/2022
148,Emma,Chadwick,Tark,3,,Arts,LEX,16/02/2022
1422,Mason,Hanson,Mully,3,,Social,MAR,16/02/2022
1089,Finlay,Fuller,Laratheon,3,,Arts,GBA,17/02/2022
665,Lydia,Bartlett,Laratheon,2,,Academic,VCR,17/02/2022
1907,Harrison,Greenwood,Laratheon,2,,Sports,PFR,17/02/2022
1508,Ben,Dean,Mully,3,,Arts,LEX,17/02/2022
548,Alex,Robertson,Laratheon,2,,Sports,LEX,17/02/2022
1552,Eve,Kelly,Dannister,3,,Arts,SMO,17/02/2022
708,Georgina,Owen,Laratheon,3,,Sports,VCR,17/02/2022
276,Megan,Garner,Dannister,3,,Social,MAR,17/02/2022
1510,Aaliyah,Kennedy,Laratheon,,4,Social,MAR,17/02/2022
304,Eleanor,Walton,Dannister,3,,Social,GBR,18/02/2022
242,Elizabeth,O'Brien,Tark,1,,Social,VCR,18/02/2022
1151,Victoria,Watkins,Laratheon,1,,Sports,PFR,18/02/2022
1561,Evie,Barber,Laratheon,2,,Social,LEX,18/02/2022
1636,Louise,Burgess,Dannister,2,,Social,SMO,18/02/2022
123,Georgia,Allan,Laratheon,3,,Social,LHO,18/02/2022
1948,Charlie,Leonard,Laratheon,3,,Academic,LHO,18/02/2022
1389,Ruby,Burrows,Tark,2,,Sports,GBR,18/02/2022
1231,Grace,Fletcher,Mully,3,,Sports,SMO,18/02/2022
469,Mohammed,Mellor,Mully,,1,Behaviour,VCR,18/02/2022
872,Abby,Clark,Tark,2,,Sports,GBA,18/02/2022
1309,Muhammad,Wilkins,Tark,2,,Sports,ATR,18/02/2022
1002,Skye,Hughes,Dannister,3,,Social,SMO,19/02/2022
831,Isabel,Gough,Laratheon,3,,Academic,LEX,19/02/2022
1720,Madison,Schofield,Laratheon,2,,Academic,GBR,19/02/2022
559,Josh,Gallagher,Laratheon,1,,Sports,ATR,19/02/2022
981,Zachary,Davison,Laratheon,2,,Behaviour,ATR,19/02/2022
1516,Alexandra,Carter,Laratheon,3,,Arts,VMA,19/02/2022
1986,Courtney,Sheppard,Dannister,2,,Social,LHO,20/02/2022
1911,Ewan,Mills,Tark,3,,Arts,LEX,20/02/2022
1648,Georgia,Henry,Laratheon,3,,Social,MAR,20/02/2022
1557,Charlotte,Hyde,Laratheon,1,,Behaviour,LEX,20/02/2022
1995,Faith,Allan,Laratheon,3,,Behaviour,SMO,20/02/2022
1270,Jade,Waters,Tark,1,,Social,LHO,20/02/2022
212,William,O'Brien,Dannister,3,,Social,SMO,20/02/2022
160,Tom,Cooper,Mully,1,,Sports,SMO,20/02/2022
469,Mohammed,Mellor,Mully,3,,Social,LEX,20/02/2022
1190,Jodie,Chambers,Dannister,2,,Sports,SMO,20/02/2022
1010,Georgina,Elliott,Laratheon,3,,Behaviour,LEX,20/02/2022
976,Joel,French,Mully,,1,Sports,VCR,20/02/2022
965,Alicia,Waters,Dannister,2,,Arts,GBR,21/02/2022
1418,Lily,Richardson,Laratheon,2,,Sports,GBR,21/02/2022
655,Lara,Whittaker,Laratheon,2,,Behaviour,GBR,21/02/2022
629,Jordan,Greenwood,Laratheon,2,,Academic,SMO,21/02/2022
709,Bethany,Hutchinson,Tark,2,,Social,JMI,21/02/2022
732,Noah,Chambers,Laratheon,1,,Arts,ATR,21/02/2022
507,Lauren,Burgess,Dannister,2,,Social,SMO,21/02/2022
1564,Jodie,Long,Mully,3,,Sports,SMO,22/02/2022
645,Louie,Whitehead,Dannister,2,,Social,MAR,22/02/2022
1219,Abby,Robertson,Laratheon,1,,Academic,VCR,22/02/2022
204,Anthony,Flynn,Dannister,1,,Arts,VCR,22/02/2022
115,Ella,Cook,Tark,3,,Arts,GBR,22/02/2022
1507,Jade,Hobbs,Dannister,2,,Academic,GBA,22/02/2022
565,Gabriel,Noble,Dannister,3,,Behaviour,VCR,22/02/2022
425,Sofia,Holden,Tark,3,,Social,SMO,22/02/2022
304,Eleanor,Walton,Dannister,3,,Social,GBR,22/02/2022
1285,Jade,Dodd,Dannister,1,,Social,LEX,22/02/2022
34,Mollie,Cooke,Mully,2,,Academic,GBA,23/02/2022
384,Alexandra,Richards,Laratheon,1,,Behaviour,LEX,23/02/2022
510,Demi,Blake,Dannister,2,,Social,SMO,23/02/2022
1429,Samantha,Scott,Mully,1,,Sports,ATR,24/02/2022
1498,Sienna,Holland,Tark,3,,Arts,GBA,24/02/2022
1968,Jake,Fowler,Dannister,1,,Behaviour,PFR,24/02/2022
251,Olivia,Harvey,Dannister,2,,Academic,GBA,24/02/2022
1000,Leah,Reid,Laratheon,3,,Arts,VCR,24/02/2022
1060,Finlay,Rose,Tark,3,,Behaviour,PFR,24/02/2022
383,Alex,Ingram,Tark,3,,Arts,SMO,24/02/2022
182,Michael,Phillips,Tark,2,,Sports,LEX,24/02/2022
1064,Elizabeth,Winter,Mully,2,,Academic,PFR,24/02/2022
1190,Jodie,Chambers,Dannister,,2,Sports,SMO,24/02/2022
1152,Jay,Palmer,Laratheon,1,,Arts,LEX,25/02/2022
341,Matilda,Peters,Tark,1,,Sports,LEX,25/02/2022
1551,Rhys,Manning,Mully,3,,Academic,GBR,25/02/2022
61,Samantha,Ingram,Dannister,3,,Arts,LEX,25/02/2022
1292,Callum,Stevenson,Dannister,2,,Arts,SMO,25/02/2022
1268,Laura,O'Sullivan,Mully,2,,Academic,VMA,25/02/2022
