Student_ID,Gender,GivenName,Surname,Campus,Residence,Room,EmailAddress,Class
377,male,Muhammad,Edwards,Lamuella,Eccentrica,1,MuhammadEdwards@trashymail.com,FE3
378,female,Sienna,Bibi,Lamuella,Eccentrica,11,SiennaBibi@trashymail.com,FE5
379,male,Alexander,Andrews,Lamuella,Fenchurch,49,AlexanderAndrews@mailinator.com,FE4
380,female,Alicia,Waters,Magrathea,Trillian,47,AliciaWaters@mailinator.com,FE5
383,male,George,Hammond,Lamuella,Eccentrica,31,GeorgeHammond@trashymail.com,FE5
384,female,Skye,Hughes,Vogon,Trillian,40,SkyeHughes@spambob.com,FE5
386,female,Francesca,Clayton,Lamuella,Eccentrica,1,FrancescaClayton@mailinator.com,FE4
390,male,Declan,Rowe,Lamuella,Fenchurch,56,DeclanRowe@trashymail.com,FE4
396,female,Jade,Dodd,Vogon,Trillian,46,JadeDodd@trashymail.com,FE4
397,male,Callum,Stevenson,Magrathea,Eccentrica,27,CallumStevenson@trashymail.com,FE5
399,female,Cerys,Wheeler,Magrathea,Fenchurch,33,CerysWheeler@trashymail.com,FE5
